company,company_website,target_title,linkedin_search_query,linkedin_search_url,why_this_search_matters,manual_review_status,notes
ReelShort,https://www.reelshort.com,CEO,"""ReelShort"" ""CEO""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22CEO%22,"A CEO at ReelShort may influence company partnerships, business development, or senior decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Producer,"""DramaBox"" ""Producer""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Producer%22,"A Producer at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Executive Producer,"""DramaBox"" ""Executive Producer""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Executive+Producer%22,"An Executive Producer at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Creative Producer,"""DramaBox"" ""Creative Producer""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Creative+Producer%22,"A Creative Producer at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Development Producer,"""DramaBox"" ""Development Producer""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Development+Producer%22,"A Development Producer at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Head of Production,"""DramaBox"" ""Head of Production""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Head+of+Production%22,"A Head of Production at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Production Manager,"""DramaBox"" ""Production Manager""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Production+Manager%22,"A Production Manager at DramaBox may influence production planning, creative development, or production partnerships.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Head of Content,"""DramaBox"" ""Head of Content""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Head+of+Content%22,"A Head of Content at DramaBox may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,VP of Content,"""DramaBox"" ""VP of Content""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22VP+of+Content%22,"A VP of Content at DramaBox may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Content Acquisition Manager,"""DramaBox"" ""Content Acquisition Manager""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Content+Acquisition+Manager%22,"A Content Acquisition Manager at DramaBox may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Partnerships Manager,"""DramaBox"" ""Partnerships Manager""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Partnerships+Manager%22,"A Partnerships Manager at DramaBox may influence company partnerships, business development, or senior decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Business Development Manager,"""DramaBox"" ""Business Development Manager""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Business+Development+Manager%22,"A Business Development Manager at DramaBox may influence company partnerships, business development, or senior decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,Founder,"""DramaBox"" ""Founder""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22Founder%22,"A Founder at DramaBox may influence company partnerships, business development, or senior decisions.",Not reviewed,
DramaBox,https://www.dramaboxdb.com,CEO,"""DramaBox"" ""CEO""",https://www.linkedin.com/search/results/people/?keywords=%22DramaBox%22+%22CEO%22,"A CEO at DramaBox may influence company partnerships, business development, or senior decisions.",Not reviewed,
My Drama,https://my-drama.com,Producer,"""My Drama"" ""Producer""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Producer%22,"A Producer at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Executive Producer,"""My Drama"" ""Executive Producer""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Executive+Producer%22,"An Executive Producer at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Creative Producer,"""My Drama"" ""Creative Producer""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Creative+Producer%22,"A Creative Producer at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Development Producer,"""My Drama"" ""Development Producer""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Development+Producer%22,"A Development Producer at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Head of Production,"""My Drama"" ""Head of Production""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Head+of+Production%22,"A Head of Production at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Production Manager,"""My Drama"" ""Production Manager""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Production+Manager%22,"A Production Manager at My Drama may influence production planning, creative development, or production partnerships.",Not reviewed,
My Drama,https://my-drama.com,Head of Content,"""My Drama"" ""Head of Content""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Head+of+Content%22,"A Head of Content at My Drama may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
My Drama,https://my-drama.com,VP of Content,"""My Drama"" ""VP of Content""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22VP+of+Content%22,"A VP of Content at My Drama may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
My Drama,https://my-drama.com,Content Acquisition Manager,"""My Drama"" ""Content Acquisition Manager""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Content+Acquisition+Manager%22,"A Content Acquisition Manager at My Drama may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
My Drama,https://my-drama.com,Partnerships Manager,"""My Drama"" ""Partnerships Manager""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Partnerships+Manager%22,"A Partnerships Manager at My Drama may influence company partnerships, business development, or senior decisions.",Not reviewed,
My Drama,https://my-drama.com,Business Development Manager,"""My Drama"" ""Business Development Manager""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Business+Development+Manager%22,"A Business Development Manager at My Drama may influence company partnerships, business development, or senior decisions.",Not reviewed,
My Drama,https://my-drama.com,Founder,"""My Drama"" ""Founder""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22Founder%22,"A Founder at My Drama may influence company partnerships, business development, or senior decisions.",Not reviewed,
My Drama,https://my-drama.com,CEO,"""My Drama"" ""CEO""",https://www.linkedin.com/search/results/people/?keywords=%22My+Drama%22+%22CEO%22,"A CEO at My Drama may influence company partnerships, business development, or senior decisions.",Not reviewed,
Runway,https://runwayml.com,Producer,"""Runway"" ""Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Producer%22,"A Producer at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Executive Producer,"""Runway"" ""Executive Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Executive+Producer%22,"An Executive Producer at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Creative Producer,"""Runway"" ""Creative Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Creative+Producer%22,"A Creative Producer at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Development Producer,"""Runway"" ""Development Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Development+Producer%22,"A Development Producer at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Head of Production,"""Runway"" ""Head of Production""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Head+of+Production%22,"A Head of Production at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Production Manager,"""Runway"" ""Production Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Production+Manager%22,"A Production Manager at Runway may influence production planning, creative development, or production partnerships.",Not reviewed,
Runway,https://runwayml.com,Head of Content,"""Runway"" ""Head of Content""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Head+of+Content%22,"A Head of Content at Runway may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Runway,https://runwayml.com,VP of Content,"""Runway"" ""VP of Content""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22VP+of+Content%22,"A VP of Content at Runway may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Runway,https://runwayml.com,Content Acquisition Manager,"""Runway"" ""Content Acquisition Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Content+Acquisition+Manager%22,"A Content Acquisition Manager at Runway may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Runway,https://runwayml.com,Partnerships Manager,"""Runway"" ""Partnerships Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Partnerships+Manager%22,"A Partnerships Manager at Runway may influence company partnerships, business development, or senior decisions.",Not reviewed,
Runway,https://runwayml.com,Business Development Manager,"""Runway"" ""Business Development Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Business+Development+Manager%22,"A Business Development Manager at Runway may influence company partnerships, business development, or senior decisions.",Not reviewed,
Runway,https://runwayml.com,Founder,"""Runway"" ""Founder""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22Founder%22,"A Founder at Runway may influence company partnerships, business development, or senior decisions.",Not reviewed,
Runway,https://runwayml.com,CEO,"""Runway"" ""CEO""",https://www.linkedin.com/search/results/people/?keywords=%22Runway%22+%22CEO%22,"A CEO at Runway may influence company partnerships, business development, or senior decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Producer,"""Pocket FM"" ""Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Producer%22,"A Producer at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Executive Producer,"""Pocket FM"" ""Executive Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Executive+Producer%22,"An Executive Producer at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Creative Producer,"""Pocket FM"" ""Creative Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Creative+Producer%22,"A Creative Producer at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Development Producer,"""Pocket FM"" ""Development Producer""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Development+Producer%22,"A Development Producer at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Head of Production,"""Pocket FM"" ""Head of Production""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Head+of+Production%22,"A Head of Production at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Production Manager,"""Pocket FM"" ""Production Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Production+Manager%22,"A Production Manager at Pocket FM may influence production planning, creative development, or production partnerships.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Head of Content,"""Pocket FM"" ""Head of Content""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Head+of+Content%22,"A Head of Content at Pocket FM may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,VP of Content,"""Pocket FM"" ""VP of Content""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22VP+of+Content%22,"A VP of Content at Pocket FM may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Content Acquisition Manager,"""Pocket FM"" ""Content Acquisition Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Content+Acquisition+Manager%22,"A Content Acquisition Manager at Pocket FM may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Partnerships Manager,"""Pocket FM"" ""Partnerships Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Partnerships+Manager%22,"A Partnerships Manager at Pocket FM may influence company partnerships, business development, or senior decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Business Development Manager,"""Pocket FM"" ""Business Development Manager""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Business+Development+Manager%22,"A Business Development Manager at Pocket FM may influence company partnerships, business development, or senior decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,Founder,"""Pocket FM"" ""Founder""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22Founder%22,"A Founder at Pocket FM may influence company partnerships, business development, or senior decisions.",Not reviewed,
Pocket FM,https://www.pocketfm.com,CEO,"""Pocket FM"" ""CEO""",https://www.linkedin.com/search/results/people/?keywords=%22Pocket+FM%22+%22CEO%22,"A CEO at Pocket FM may influence company partnerships, business development, or senior decisions.",Not reviewed,
